epoch,train_loss,val_loss,train_acc,val_acc
1,1.5054051978005303,1.3704629152297974,0.4401333333333333,0.5216
2,1.0453691928545634,1.2630936576843261,0.6228666666666667,0.5774
3,0.8594860297203064,1.3035195335388183,0.6938444444444445,0.6038
4,0.7521301619635687,0.8111646197557449,0.7362444444444445,0.728
5,0.6801232899771796,0.767953969335556,0.7619333333333334,0.7348
6,0.6247262226952447,0.8060192061662674,0.7811111111111111,0.7246
7,0.5870458418793149,0.9490693150520325,0.7964,0.7018
8,0.5545770814365811,0.7578637280464172,0.8080666666666667,0.7562
9,0.5244844929377238,0.6984840828895569,0.8181777777777778,0.7722
10,0.5042782965024313,0.5547896503210068,0.8252888888888888,0.8122
11,0.4806301058133443,0.5872163683652878,0.8341333333333333,0.7978
12,0.459358474111557,0.5784227031707764,0.8396,0.806
13,0.44537161238988243,0.587739211666584,0.8449333333333333,0.8036
14,0.42836495502259997,0.6900537614822387,0.8517333333333333,0.7796
15,0.41165100145339967,0.5493473505735398,0.8551333333333333,0.8282
16,0.3996579257965088,0.5281350552082061,0.8614888888888889,0.8302
17,0.38841267629729376,0.6121913288354873,0.8641777777777778,0.804
18,0.3776884213871426,0.5419499553918838,0.8689555555555556,0.8262
19,0.3681576825989617,0.49689223611354827,0.8733111111111111,0.8388
20,0.35781757107310824,0.6271969028234482,0.8756888888888889,0.8076
21,0.28493019222683375,0.39962501280903817,0.9028,0.8696
22,0.2667718228552077,0.393922846609354,0.9090444444444444,0.8736
23,0.2591663897646798,0.40129828058481215,0.9110888888888888,0.8712
24,0.25138634528583953,0.3949820236504078,0.9145111111111112,0.8726
25,0.2459014359606637,0.40038551826477053,0.9167555555555555,0.872
26,0.24544140413602195,0.391747107219696,0.9161333333333334,0.872
27,0.24112568913035923,0.3939578762054443,0.9185333333333333,0.8766
28,0.23893134388923645,0.3951063953340054,0.9196444444444445,0.8744
29,0.2348156454033322,0.39551062054634095,0.9212444444444444,0.8734
30,0.23149788174364302,0.391747852897644,0.9202,0.875
31,0.2307191636323929,0.3886556128144264,0.9222222222222223,0.8766
32,0.22526102393203312,0.3948214951574802,0.9225333333333333,0.876
33,0.22341074120203655,0.39724601132273674,0.9232444444444444,0.8764
34,0.22125482801331414,0.40807695927619936,0.9255333333333333,0.871
35,0.22076183465321858,0.39559764094352723,0.9246,0.875
36,0.21656118221282958,0.40490175686478613,0.926,0.8734
37,0.21724380102422503,0.3960122023761272,0.9257333333333333,0.877
38,0.21477577817440033,0.40666099275946616,0.9265777777777777,0.8742
39,0.21209953525331285,0.4059264830976725,0.9285555555555556,0.872
40,0.20600928625530668,0.40116240144968035,0.9310222222222222,0.876
