epoch,train_loss,val_loss,train_acc,val_acc
1,1.5992283945847805,1.4237212132497805,0.4034440344403444,0.48539029219415614
2,1.1491302498116571,1.284173258638213,0.5859358593585936,0.5555288894222116
3,0.9732176482800843,1.030464798013572,0.6514565145651456,0.628127437451251
4,0.865540171134119,0.8872134508136482,0.6939369393693937,0.6924461510769785
5,0.7759289781231086,0.9447451583581129,0.7269972699726998,0.6772064558708826
6,0.7202013216013526,0.9662545266939339,0.7443074430744308,0.6886662266754665
7,0.6600755855570288,0.862627622772509,0.7696876968769688,0.7140457190856183
8,0.620783232567538,0.7142372022523672,0.7821978219782197,0.755084898302034
9,0.5980314814164273,0.9786001648064344,0.7898478984789848,0.6792464150716986
10,0.561546392435503,0.7946413848863163,0.8041880418804188,0.741585168296634
11,0.5381216447502781,0.6807394203999093,0.8116581165811658,0.7725445491090178
12,0.5208115378774203,0.5785912251747126,0.8179281792817928,0.8012839743205136
13,0.49234982321133114,0.5707628728425473,0.8316383163831639,0.8043439131217376
14,0.4792264972129206,0.6594900043436852,0.8339483394833949,0.7870642587148257
15,0.4623013908340282,0.8478086492170875,0.8395883958839588,0.744405111897762
16,0.4448395137492463,0.5345801383180023,0.8465484654846549,0.8198236035279295
17,0.4299022779049726,0.5728423075322778,0.8498184981849819,0.8135237295254095
18,0.41937154657454556,0.5302519620541313,0.8564485644856449,0.8240835183296334
19,0.40269462697967223,0.5411396975700947,0.8592085920859208,0.8195836083278334
20,0.40143549778643633,0.6375081024323269,0.8597485974859749,0.7968440631187377
