epoch,train_loss,val_loss,train_acc,val_acc
1,2.3330783519131484,2.298300858006305,0.10094798104037919,0.13386535461418456
2,2.3107590858169713,2.2744820588035313,0.10655786884262315,0.1813272530901236
3,2.2620145725690377,2.1482338721077223,0.1379672406551869,0.1814472578903156
4,2.171602601931192,2.0820427713997294,0.17120657586848262,0.20040801632065283
5,2.1223851633234974,2.05722756473354,0.18071638567228657,0.2015480619224769
6,2.0927115178046702,2.0216953155016766,0.19184616307673846,0.21078843153726148
7,2.0705254143999685,2.0036198879138025,0.19499610007799845,0.21012840513620545
8,2.048598696733913,1.9885041440762092,0.2029159416811664,0.22074882995319814
9,2.0285534331356105,1.9492128352278866,0.20387592248155037,0.23340933637345493
10,2.0102101944701216,1.9375209633820227,0.20918581628367433,0.2452298091923677
11,1.996508985988493,1.916155328673932,0.21419571608567828,0.25123004920196806
12,1.9801766586380958,1.9157301803375082,0.21644567108657828,0.25069002760110404
13,1.9696450017098939,1.9100687224996857,0.21917561648767026,0.25069002760110404
14,1.9624149247252063,1.904679347569525,0.21959560808783823,0.25045001800072003
15,1.9482502388583667,1.8976615152910636,0.2264654706905862,0.2453498139925597
16,1.9460221456624525,1.891515937570219,0.22382552348953022,0.2559702388095524
17,1.935929913079366,1.893831673267007,0.23120537589248216,0.2453498139925597
18,1.9339531747983127,1.8722602648135924,0.22907541849163016,0.2572302892115685
19,1.9223892226276111,1.8698030901916542,0.23297534049319013,0.25717028681147247
20,1.9136772847400183,1.8588246904929604,0.23465530689386213,0.2594503780151206
